preposition,meaning
plus,(of temperature) above zero:
plus,together with:
'pon,All_upon
preparatory to,as a preparation for:
previous to,before:
prior to,before:
pro,in favor of
pursuant to,in accordance with (a law or a legal document or resolution):
qua,in the capacity of; as being:
re,in the matter of (used typically as the first word in the heading of an official document or to introduce a reference in a formal letter):
regarding,in respect of; concerning:
regardless of,without regard or consideration for:
relative to,in comparison with:
relative to,in terms of a connection to:
respecting,with reference to; with regard to
round,(of something abstract) having (the thing mentioned) as a focus:
round,(of a person's arm or arms) partially encircling (another person) as a gesture of affection:
round,following an approximately circular route past (a corner or obstacle):
round,on the other side of (a corner or obstacle):
round,so as to cover or take in the whole area of (a place):
round,so as to hit (something) in passing:
round,so as to encircle (someone or something):
round,on every side of (a focal point):
round about,at a point or time approximately equal to:
sans,without:
save,except; other than:
saving,with the exception of; except.
saving,with due respect to.
short for,an abbreviation or nickname for:
short of,without going so far as (some extreme action):
short of,less than:
short of,not reaching as far as.
since,"in the intervening period between (the time mentioned) and the time under consideration, typically the present:"
subsequent to,coming after something in time; following:
than,introducing the second element in a comparison:
than,used in expressions introducing an exception or contrast:
thanks to,as a result of; due to:
this side of,yet to reach (a particular age):
this side of,used to convey that something is comparable with a paragon or model of its kind:
this side of,"before (a particular time, date, or event):"
thro',All_through
through,expressing the position or location of something beyond or at the far end of (an opening or an obstacle):
through,expressing the extent of turning from one orientation to another:
through,used to denote two things that can interconnect
through,by means of (a process or intermediate stage):
through,by means of (an intermediary or agent):
through,continuing in time towards completion of (a process or period):
through,by way of (a place)
through,up to and including (a particular point in an ordered sequence):
through,so as to make a hole or opening in (a physical object):
through,so as to complete (a particular stage or trial) successfully:
through,"so as to inspect all or part of (a collection, inventory, or publication):"
through,so as to be perceived from the other side of (an intervening obstacle):
through,throughout (a place)
through,"from beginning to end of (an experience or activity, typically a tedious or stressful one):"
through,"moving in one side and out of the other side of (an opening, channel, or location):"
throughout,from beginning to end of (an event or period of time):
throughout,in every part of (a place or object):
thru,All_through
thwart,from one side to another side of; across:
till,All_until
to,identifying the person or thing affected by or receiving something
to,used in various phrases to indicate how something is related to something else (often followed by a noun without a determiner):
to,used to introduce the second element in a comparison:
to,concerning or likely to concern (something):
to,approaching or reaching (a particular condition):
to,expressing the result of a process or action:
to,identifying a particular relationship between one person and another:
to,placed before a debit entry in accounting.
to,indicating the power (exponent) to which a number is raised:
to,(in telling the time) before (the hour specified):
to,indicating that two things are attached or linked:
to,"expressing location, typically in relation to a specified point of reference:"
to,expressing a point reached at the end of a range or after a period of time:
to,"indicating a rate of return on something, for example the distance travelled in exchange for fuel used:"
to,governing a phrase expressing someone's reaction to something:
to,identifying the person or thing affected by or receiving something:
to,expressing motion in the direction of (a particular location):
to the accompaniment of,with accompanying or background music or sound from
to the tune of,amounting to or involving (a specified considerable sum):
together with,as well as; along with:
touching,concerning; about:
toward,All_towards
towards,getting closer to achieving (a goal):
towards,expressing the relation between an attitude and the person or thing at which it is directed or with which it is concerned
towards,expressing the relation between a behavior and the person or thing at which it is directed
towards,in the direction of:
towards,contributing to the cost of:
towards,close or closer to (a particular time):
under,undergoing (a process):
under,used to express grouping or classification:
under,in a state of:
under,planted with:
under,as provided for by the rules of; in accordance with:
under,lower in grade or rank than:
under,within the environment of (a particular operating system):
under,"lower than (a specified amount, rate, or norm):"
under,during the rule of:
under,extending or directly below:
under,behind or hidden behind (an appearance):
under,dominated or controlled by:
under,as a reaction to or undergoing the pressure of (something):
under,behind (a physical surface):
under cover of,while pretending to do:
under cover of,concealed by:
under pain of,the penalty for disobedience or shortcoming being:
under sentence of,condemned to
under the heel of,dominated or controlled by:
underneath,situated directly below (something else):
underneath,so as to be concealed by (something else):
underneath,partly or wholly concealed by (a garment):
unlike,uncharacteristic of (someone):
unlike,different from; not similar to:
until,up to (the point in time or the event mentioned):
unto,(with a reflexive pronoun) in its own right
unto,Recipient
unto,TimePoint
up,at or to (a place):
up,along or further along (a street or road):
up,from a lower to a higher point of (something):
up,"to a higher part of (a river or stream), away from the sea:"
up against,close to or in contact with:
up against,confronted with:
up and down,to and fro along:
up and down,in various places throughout:
up before,appearing for a hearing in the presence of:
up for,available for:
up to,occupied or busy with:
up to,capable of or fit for:
up to,as far as:
up to,the responsibility or choice of (someone):
up to,indicating a maximum amount:
up to,good enough for:
up to,until:
upon,SurfaceSupporting
upside,against; on:
upward of,more than.
upwards of,more than.
versus,against (especially in sporting and legal use):
versus,as opposed to; in contrast to:
via,by way of; through:
via,by means of:
via,travelling through (a place) en route to a destination:
vice,as a substitute for:
vis-a-vis,as compared with; as opposed to:
vis-a-vis,in relation to; with regard to:
