doc ID,topic pairs
10.1107/S0021889890012365,"[(28, 0.9416633030242609)]"
10.1107/S0021889803022052,"[(10, 0.9680496736105612)]"
10.1107/S0021889803024415,"[(15, 0.9633490145855028)]"
10.1107/S0021889803026670,"[(90, 0.9698369956788851)]"
10.1107/S010876731003446X,"[(140, 0.9697845644304651)]"
10.1107/S0108767310034471,"[(83, 0.9502095276850688)]"
10.1107/S0108767388012243,"[(63, 0.9836641673653101)]"
10.1107/S0021889890010822,"[(117, 0.964439383250338)]"
10.1107/S1600536811022112,"[(0, 0.9112492919960103)]"
10.1107/S1600536811022756,"[(36, 0.9416298132858104)]"
10.1107/S1600536811023282,"[(3, 0.5627934461750768), (4, 0.20429786851402196), (17, 0.18977833450231674)]"
10.1107/S1600536811023142,"[(1, 0.9458560184888821)]"
10.1107/S1600536811024512,"[(147, 0.44924422149245846), (23, 0.3313092617422617), (1, 0.1661518391272745)]"
10.1107/S1600536812051720,"[(3, 0.9552439456252272)]"
10.1107/S1600536812051811,"[(3, 0.6580219705770707), (17, 0.29588222610954035)]"
10.1107/S1600536812051938,"[(16, 0.9240317516041039)]"
10.1107/S1600536811024111,"[(0, 0.6224918390595077), (69, 0.28098308125932775)]"
10.1107/S1600536812050398,"[(111, 0.7613672744408496), (16, 0.19174698775856716)]"
10.1107/S1600536811020563,"[(3, 0.9104878951453612)]"
10.1107/S1600536811023609,"[(0, 0.5830657508157623), (21, 0.36600164802956225)]"
10.1107/S1600536811020745,"[(0, 0.959322592164838)]"
10.1107/S1600536811021040,"[(139, 0.4864400030708467), (42, 0.4723450049004873)]"
10.1107/S1600536811020459,"[(4, 0.9423025971566725)]"
10.1107/S1600536811021489,"[(23, 0.9419978201599287)]"
10.1107/S1600536811021416,"[(4, 0.9299388679774724)]"
10.1107/S1600536811023464,"[(128, 0.3364148181936944), (2, 0.31940499313911097), (56, 0.2897288369113595)]"
10.1107/S1600536813000354,"[(1, 0.9651931547428527)]"
10.1107/S1600536813000366,"[(30, 0.9602865585109693)]"
10.1107/S1600536811021684,"[(0, 0.9457634562191587)]"
10.1107/S1600536811021623,"[(1, 0.5026606319812077), (4, 0.43364286699160465)]"
10.1107/S1600536811025098,"[(11, 0.9482004480384948)]"
10.1107/S0108270110009285,"[(6, 0.9529445176476085)]"
10.1107/S0108767392008365,"[(117, 0.8755378413761827)]"
10.1107/S0108767304005884,"[(22, 0.9505730923735678)]"
10.1107/S1600536800020316,"[(41, 0.8759972752866172)]"
10.1107/S1600536809030281,"[(98, 0.7330978982224285), (7, 0.22450011204965994)]"
10.1107/S1600536809030724,"[(12, 0.5126367717841355), (3, 0.41278780909259116)]"
10.1107/S0909049502005472,"[(146, 0.9412935471372109)]"
10.1107/S0021889880011429,"[(2, 0.9752205294928601)]"
10.1107/S1600536800017876,"[(3, 0.5936860602423688), (14, 0.3251913903534428)]"
10.1107/S1600536800019607,"[(75, 0.8026450723730189)]"
10.1107/S1600536809030037,"[(11, 0.9660623752096383)]"
10.1107/S0108767392013126,"[(68, 0.9602731026066023)]"
10.1107/S1600536806001978,"[(23, 0.910360267662468)]"
10.1107/S010827011000572X,"[(7, 0.9702291955037422)]"
10.1107/S1600536806002261,"[(11, 0.8594012687256459)]"
10.1107/S1600536806001401,"[(11, 0.9105280800981379)]"
10.1107/S0108767392005841,"[(15, 0.9732546863191516)]"
10.1107/S0108767392006342,"[(64, 0.938009608377691)]"
10.1107/S1600536813016218,"[(31, 0.6681677376086412)]"
10.1107/S0909049595009782,"[(12, 0.9635241764630622)]"
10.1107/S1600536805042960,"[(1, 0.9390880207999925)]"
10.1107/S1600536806001036,"[(17, 0.5951120094894344), (0, 0.3363425259231353)]"
10.1107/S1600536813016048,"[(71, 0.9449932072964776)]"
10.1107/S0108270110026892,"[(25, 0.9765026598506901)]"
10.1107/S1600536805042844,"[(53, 0.8754854641327416)]"
10.1107/S1600536813016310,"[(82, 0.7491825504860121), (1, 0.20878289438941786)]"
