row,run,topic,terms,p
0,1,0,aring_resolution,0.026925280690193176
1,1,0,trans_configuration,0.015767870470881462
2,1,0,n_atom,0.013416895642876625
3,1,0,aromatic_ring,0.010944254696369171
4,1,0,new_expression,0.010943891480565071
5,1,0,ni_atom,0.01094374805688858
6,1,0,wild_type,0.009605061262845993
7,1,0,complex_structure,0.009287204593420029
8,1,0,diffraction_quality,0.009287189692258835
9,1,0,protonated_n_atom,0.008767109364271164
10,1,1,water_molecule,0.012433217838406563
11,1,1,room_temperature,0.010478494688868523
12,1,1,crystal_form,0.010478373616933823
13,1,1,structural_model,0.010478230193257332
14,1,1,bragg_angle,0.0104781873524189
15,1,1,main_difference,0.010478077456355095
16,1,1,envelope_conformation,0.010478077456355095
17,1,1,aromatic_pi,0.010478077456355095
18,1,1,significant_change,0.010478077456355095
19,1,1,start_material,0.010478077456355095
20,1,2,membrane_protein,0.018925324082374573
21,1,2,single_crystal,0.010900882072746754
22,1,2,structure_type,0.010900374501943588
23,1,2,large_range,0.010900328867137432
24,1,2,distribution_function,0.010900264605879784
25,1,2,metal_site,0.010900124907493591
26,1,2,extensive_hydrogen_bond,0.010900124907493591
27,1,2,mo_k_alpha,0.010200072079896927
28,1,2,temperature_range,0.010200072079896927
29,1,2,intermolecular_interaction,0.008454874157905579
30,1,3,n_kappa,0.013617927208542824
31,1,3,datum_collection,0.010226131416857243
32,1,3,electron_density,0.010226048529148102
33,1,3,intramolecular_hydrogen_bond,0.010226048529148102
34,1,3,oxidation_state,0.010226048529148102
35,1,3,n_distance,0.010226048529148102
36,1,3,diffraction_pattern,0.009928236715495586
37,1,3,light_source,0.009391493164002895
38,1,3,phase_transformation,0.009035542607307434
39,1,3,rotation_axis,0.008192154578864574
40,1,4,r_nbsp,0.020363442599773407
41,1,4,grain_boundary,0.01672225445508957
42,1,4,crystallographic_symmetry,0.010667829774320126
43,1,4,micro_be,0.010667678900063038
44,1,4,methyl_group,0.010667678900063038
45,1,4,boat_conformation,0.010667678900063038
46,1,4,double_crystal,0.008545947261154652
47,1,4,different_temperature,0.008545947261154652
48,1,4,protein_crystal,0.00827457383275032
49,1,4,structural_comparison,0.008274572901427746
50,1,5,x_ray,0.0837048888206482
51,1,5,o_hydrogen_bond,0.020946141332387924
52,1,5,x_ray_diffraction,0.01792660541832447
53,1,5,rigid_body,0.016650667414069176
54,1,5,n_h,0.014650913886725903
55,1,5,prefer_orientation,0.014336035586893559
56,1,5,dimensional_network,0.013189003802835941
57,1,5,o_h,0.011229779571294785
58,1,5,datum_acquisition,0.009343803860247135
59,1,5,complex_cation,0.008726457133889198
60,1,6,structure_factor,0.017339952290058136
61,1,6,high_quality,0.016144247725605965
62,1,6,datum_set,0.01593545638024807
63,1,6,symmetry_centre,0.015404557809233665
64,1,6,space_group,0.014417841099202633
65,1,6,dihedral_angle,0.012645768001675606
66,1,6,unit_cell,0.011981643736362457
67,1,6,structural_basis,0.009874199517071247
68,1,6,molecular_replacement,0.009874199517071247
69,1,6,physical_property,0.009827129542827606
70,1,7,inversion_center,0.016471434384584427
71,1,7,s_atom,0.014416844584047794
72,1,7,heterocyclic_ring,0.013946584425866604
73,1,7,bragg_reflection,0.01048122439533472
74,1,7,dna_bind_domain,0.010481108911335468
75,1,7,macromolecular_crystal,0.01048100832849741
76,1,7,independent_molecule,0.01048100832849741
77,1,7,amine_group,0.008737837895751
78,1,7,h_atom,0.008363919332623482
79,1,7,cu_k_alpha,0.008129779249429703
80,1,8,scatter_intensity,0.031318314373493195
81,1,8,x_ray,0.02078966610133648
82,1,8,molecular_structure,0.018534036353230476
83,1,8,absolute_configuration,0.015359288081526756
84,1,8,small_angle,0.012844598852097988
85,1,8,x_ray_analysis,0.011761517263948917
86,1,8,diffraction_datum,0.010459035634994507
87,1,8,c_axis_parallel,0.009710264392197132
88,1,8,crystal_symmetry,0.009710264392197132
89,1,8,crystallization_experiment,0.009710264392197132
90,1,9,space_group,0.03914506733417511
91,1,9,magnetic_field,0.019885530695319176
92,1,9,solid_state,0.010417012497782707
93,1,9,aring_deviation,0.010416843928396702
94,1,9,different_anion,0.010416843928396702
95,1,9,different_type,0.010416842997074127
96,1,9,crystal_structure_determination,0.008535696193575859
97,1,9,monoclinic_form,0.008345002308487892
98,1,9,complex_formation,0.008080008439719677
99,1,9,asymmetric_unit,0.007810346316546202
0,2,0,da_minus,0.025710219517350197
1,2,0,solvent_content,0.022119956091046333
2,2,0,sit_drop,0.018835049122571945
3,2,0,asymmetric_unit_molecule_presence,0.018563328310847282
4,2,0,x_ray,0.01767035387456417
